requirement_id,Anforderung,Requirement,Beschreibung,Description,Vehicle Project,Technology Cluster,Component,Type
1_1,Batteriezellen- und Moduldesign,Battery Cell and Module Design,"Die Batteriezellen müssen einen prismatischen Aufbau mit Aluminiumgehäuse, einer Nennspannung von 3,7V und einer Kapazität von 60Ah haben. Die Energiedichte muss mindestens 250Wh/kg und die Leistungsdichte mindestens 1000W/kg betragen. Die Batteriemodulen müssen aus jeweils 24 in Reihe geschalteten Zellen bestehen und ein stoßfestes Gehäuse mit integrierten Kühlkanälen sowie Spannungs- und Temperatursensoren aufweisen.","The battery cells must have a prismatic design with an aluminum housing, a nominal voltage of 3.7V, and a capacity of 60Ah. The energy density must be at least 250Wh/kg, and the power density must be at least 1000W/kg. The battery modules must consist of 24 cells connected in series each and have a shock-resistant housing with integrated cooling channels as well as voltage and temperature sensors.",R2D2,Electric Powertrain,HVB_3900,HW
2_1,Batteriepackgehäuse,Battery Pack Housing,Das Batteriepackgehäuse muss aus korrosionsbeständigem Aluminium gefertigt sein und folgenden Abmessungen entsprechen: 2000mm x 1200mm x 300mm. Das maximale Gewicht darf 700kg nicht überschreiten. Das Gehäuse muss für Betriebslasten bis 20g in jeder Raumrichtung ausgelegt und gegen Wasser gemäß IP67 geschützt sein. Hebeösen und Befestigungspunkte sind vorzusehen.,The battery pack housing must be made of corrosion-resistant aluminum and have the following dimensions: 2000mm x 1200mm x 300mm. The maximum weight must not exceed 700kg. The housing must be designed for operating loads up to 20g in any direction and be protected against water according to IP67. Lifting eyes and mounting points must be provided.,R2D2,Electric Powertrain,HVB_3900,HW
3_1,Elektrische Verbindungen und Verkabelung,Electrical Connections and Wiring,"Alle Hochvoltleitungen und -steckverbinder müssen für 1000V und 400A Dauerstrom spezifiziert sein. Die Verkabelung muss vibrations- und umweltbeständig nach Automobilnormen ausgeführt werden. Abgeschirmte Kabel, Erdungspunkte und EMV-Maßnahmen sind erforderlich.","All high-voltage cables and connectors must be specified for 1000V and 400A continuous current. The wiring must be vibration and environment-resistant according to automotive standards. Shielded cables, grounding points, and EMC measures are required.",R2D2,Electric Powertrain,HVB_3900,HW
4_1,Überhitzungsschutz für Kabel und Leitungen,Overheating Protection for Cables and Wires,"Alle Hochvoltleitungen müssen mit einer temperaturfesten Ummantelung versehen sein, die Betriebstemperaturen bis 150°C standhält.",All high-voltage cables must be equipped with a heat-resistant sheath that can withstand operating temperatures up to 150°C.,R2D2,Electric Powertrain,HVB_3900,HW
5_1,Thermomanagementssystem,Thermal Management System,"Das Flüssigkeitskühlsystem muss eine Kühlleistung von 10kW bei einer maximalen Temperaturdifferenz von 5°C über dem Batteriepack aufweisen. Die Kühlmittelführungen und -anschlüsse müssen für Glykol-Wasser-Gemische bei Hochvolt geeignet sein. Ein Kühlmittelbehälter, Leckageerkennung und Durchflusssensor sind mitzuliefern.","The liquid cooling system must provide a cooling capacity of 10kW with a maximum temperature difference of 5°C across the battery pack. The coolant lines and connections must be suitable for glycol-water mixtures at high voltage. A coolant reservoir, leakage detection, and flow sensor must be provided.",R2D2,Electric Powertrain,HVB_3900,HW
6_1,Redundantes Kühlungssystem,Redundant Cooling System,"Das Kühlsystem muss redundant mit zwei unabhängigen Kühlkreisläufen ausgelegt sein, um bei Ausfall eines Kreislaufs die Kühlung aufrechtzuerhalten.",The cooling system must be designed redundantly with two independent cooling circuits to maintain cooling in case of a circuit failure.,R2D2,Electric Powertrain,HVB_3900,HW
7_1,Kühlungseffizienz,Cooling Efficiency,"Das Kühlsystem muss eine Wärmeübertragungsrate von mindestens 0,5W/K pro Zelle gewährleisten.",The cooling system must provide a heat transfer rate of at least 0.5W/K per cell.,R2D2,Electric Powertrain,HVB_3900,HW
8_1,Kühlflüssigkeit,Coolant,Als Kühlmedium muss ein Wasser-Glykol Gemisch (60% Ethylenglykol) mit Korrosionsschutzadditiv gemäß VW TL 774-J (G13) verwendet werden. Der Gefrierpunkt muss unter -35°C liegen.,A water-glycol mixture (60% ethylene glycol) with corrosion inhibitor according to VW TL 774-J (G13) must be used as the coolant. The freezing point must be below -35°C.,R2D2,Electric Powertrain,HVB_3900,HW
9_1,Wärmeableitung,Heat Dissipation,Die Wärmeableitung von den Zellen zum Kühlsystem muss über hochleitfähige Materialien wie Aluminium oder Graphit erfolgen.,The heat dissipation from the cells to the cooling system must be achieved through highly conductive materials such as aluminum or graphite.,R2D2,Electric Powertrain,HVB_3900,HW
10_1,Temperaturgleichmäßigkeit,Temperature Uniformity,Die Temperaturdifferenz zwischen den Zellen innerhalb eines Moduls darf maximal 3°C betragen. Die Temperaturdifferenz zwischen den Modulen darf maximal 5°C betragen.,The temperature difference between cells within a module must not exceed 3°C. The temperature difference between modules must not exceed 5°C.,R2D2,Electric Powertrain,HVB_3900,HW
11_1,Temperatursensoren,Temperature Sensors,Jedes Batteriemodul muss mit mindestens einem Temperatursensor ausgestattet sein. Die Genauigkeit der Sensoren muss ±2°C betragen.,Each battery module must be equipped with at least one temperature sensor. The accuracy of the sensors must be ±2°C.,R2D2,Electric Powertrain,HVB_3900,HW
12_1,Hardware BMS,BMS Hardware,"Das BMS muss in einem separaten Gehäuse mit Backup-Stromversorgung untergebracht sein. Es muss CAN- und Ethernet-Schnittstellen sowie OTA-Update-Fähigkeit besitzen. Funktionen wie Zellbalancierung, Ladestandsüberwachung, Überstrom- und Überladeschutz sind erforderlich. Zellmonitoring und Fehlerdiagnose müssen implementiert sein.","The BMS must be housed in a separate enclosure with a backup power supply. It must have CAN and Ethernet interfaces as well as OTA update capability. Functions such as cell balancing, state of charge monitoring, overcurrent and overcharge protection are required. Cell monitoring and fault diagnosis must be implemented.",R2D2,Electric Powertrain,HVB_3900,HW
12_2,Betriebssystem,Operating System,"Das BMS muss das echtzeitfähige Betriebssystem QNX Neutrino RTOS in Version 6.6 oder höher verwenden, um deterministisches Zeitverhalten zu gewährleisten.",The BMS must use the real-time operating system QNX Neutrino RTOS version 6.6 or higher to ensure deterministic timing behavior.,R2D2,Electric Powertrain,HVB_3900,SW
12_3,Zellüberwachung,Cell Monitoring,"Die Zellüberwachung muss eine Abtastrate der Zellspannungen von ≥ 1kHz, eine Auflösung der Spannungsmessung von ≤ 1mV, eine Temperaturmessgenauigkeit von ± 2°C, eine Strommessgenauigkeit von ± 1% sowie einen Fuzzy-Logik basierten Zellbalancierungsalgorithmus aufweisen.","The cell monitoring must have a cell voltage sampling rate of ≥ 1kHz, a voltage measurement resolution of ≤ 1mV, a temperature measurement accuracy of ± 2°C, a current measurement accuracy of ± 1%, and a fuzzy logic-based cell balancing algorithm.",R2D2,Electric Powertrain,HVB_3900,SW
12_4,Ladestand und Reichweite,State of Charge and Range,"Die Ladestandsberechnung (SOC) muss mittels Kalman-Filter und Impedanzüberwachung erfolgen. Die Reichweitenberechnung muss auf historischen und vorausschauenden Fahrdaten basieren und Temperatur, Alterung, Lastzustand sowie Fahrstil berücksichtigen.","The state of charge (SOC) calculation must be performed using a Kalman filter and impedance monitoring. The range calculation must be based on historical and predictive driving data, taking into account temperature, aging, load conditions, and driving style.",R2D2,Electric Powertrain,HVB_3900,SW
12_5,Thermomanagement,Thermal Management,"Das Thermomanagement muss ein Predictive Thermal Management unter Verwendung von Wärmemodellen, die Ansteuerung redundanter Kühlkreisläufe und Pumpen sowie die Vorkonditionierung des Batteriepacks vor Fahrtantritt umfassen.","The thermal management must include predictive thermal management using heat models, control of redundant cooling circuits and pumps, and preconditioning of the battery pack before driving.",R2D2,Electric Powertrain,HVB_3900,SW
